layer,base_val_loss,oracle_val_loss,improvement_gap,gradient_detectable_rank,gradient_stable_rank,gradient_effective_rank,predicted_rank_detectable,predicted_rank_effective,predicted_rank_stable,best_rank,best_val_loss,true_k_strong,spike_peak,spike_decay,weak_factor,near_best_rank_gap_0.02,near_best_rank_gap_0.05,near_best_rank_gap_0.1,near_best_rank_gap_0.2,recovery_rank_0.5,recovery_rank_0.7,recovery_rank_0.8,recovery_rank_0.9,recovery_rank_0.95,penalized_rank_lambda_0.05,penalized_rank_lambda_0.1,penalized_rank_lambda_0.15,penalized_rank_lambda_0.2,penalized_rank_lambda_0.3
0,0.0537224229687055,0.0025131304891135805,0.05120929247959192,1,1.008258976981338,1.072212643405423,1,2,2,32,0.0033293111161044435,1,2.5386053167432476,0.16592597107028942,0.052732496640800756,4,1,1,1,1.0,1.0,1.0,1.0,1.0,4,4,4,4,1
1,0.1430506609180924,0.0025121141416497178,0.14053854677644267,4,1.5145712290285542,2.7355933038877116,4,4,2,32,0.014494288402976592,4,2.85419399626721,0.17844932996178972,0.03310795437508113,32,32,4,4,2.0,4.0,4.0,32.0,,32,32,4,4,4
2,0.7233864683625983,0.0024942574905359974,0.7208922108720623,4,2.0470310640045617,4.808690297150342,4,8,4,32,0.007642618962005919,8,3.655736966012273,0.026796341344861183,0.07862282936191174,16,8,8,8,4.0,8.0,8.0,8.0,8.0,16,16,8,8,8
3,0.1936917666435935,0.0025028233129512543,0.19118894333064224,4,2.400444686481772,4.505963909715105,4,8,4,32,0.0331761443908517,8,2.7247299428100784,0.17454708203056887,0.02166932883549403,32,16,8,4,2.0,4.0,32.0,,,32,16,8,8,8
4,0.13854418476865418,0.0024936422055490755,0.13605054256310511,3,1.5608020807419976,2.3290752282245166,4,4,2,32,0.009545031959837453,3,2.6047080763324644,0.14234857457017241,0.03064872502003252,32,8,8,2,1.0,2.0,4.0,8.0,,32,8,8,8,8
5,0.2024263349443307,0.0025094129771668664,0.19991692196716385,3,2.6173531778378867,3.1697843920282276,4,4,4,32,0.005459031832356133,3,3.0664864294879624,0.061430337435625135,0.07577425713701325,4,4,4,4,2.0,4.0,4.0,4.0,4.0,8,4,4,4,4
6,0.43939891419312715,0.0024943163095722167,0.43690459788355496,5,2.0958570699561507,4.80970939204119,8,8,4,32,0.029339793581108026,8,3.5194095982116256,0.09163971122807096,0.07962114374630513,32,16,8,8,4.0,4.0,8.0,16.0,,16,16,8,8,8
7,0.042201617630291184,0.0024939773033927576,0.03970764032689843,1,1.0053495092851636,1.0553650797524177,1,2,2,32,0.004328890645153551,1,2.5998088625733593,0.13436855900698697,0.011271659375508978,16,2,1,1,1.0,1.0,1.0,2.0,32.0,16,2,2,2,2
8,0.087568348298495,0.0025103419945527615,0.08505800630394224,1,1.0048252965671953,1.0449169536930751,1,2,2,32,0.003008896339738306,1,3.2668772999524833,0.13557460075328565,0.032128483423037986,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
9,0.09265109898940978,0.0024992347215400897,0.09015186426786968,1,1.0027161372296387,1.0281944766468474,1,2,2,32,0.0030057242119044753,1,3.1357267824556097,0.17500560938005238,0.023736148369985097,1,1,1,1,1.0,1.0,1.0,1.0,1.0,4,4,1,1,1
